Taxon,UTM10x10,UTM1x1,Notes
Ornithogalum reverchonii,30SVF06,,
Ornithogalum reverchonii,30SVF28,,
Ornithogalum reverchonii,,30SVF0069,
Ornithogalum reverchonii,,30SVF9969,
Ornithogalum reverchonii,,30SWH0411,
Woodwardia radicans          ,29TQH11,,
Aconitum napellus castellanum,30TUK46,,
Draba hispanica lebrunii,29TQH26,,
Draba hispanica lebrunii,30TUN53,,
Draba hispanica lebrunii,30TUN63,,
Petrocoptis pyrenaica viscosa,29TQH26,,
Petrocoptis pyrenaica viscosa,30TTN55,,
Echium cantabricum  ,30TUN58,,
Echium cantabricum  ,30TUN75,,
Genista sanabrensis ,29TQG16,,
Genista sanabrensis ,29TPG84,,
Genista sanabrensis ,30TTN61,,
Armeria rothmaleri  ,29TQH14,,
Viola cazorlensis,30SVG09,,
Gyrocaryum oppositifolium,30STG69,,
Geranium dolomiticum,29TPG89,,
Geranium dolomiticum,29TPH90,,
Geranium dolomiticum,29TPH91,,
Geranium dolomiticum,29TQH00,,
Geranium dolomiticum,29TQH15,,
Geranium dolomiticum,29TQH16,,
Geranium dolomiticum,29TQH25,,
Astragalus gines-lopezii,30TUK08,,
Astragalus gines-lopezii,30TUK09,,
Epipogium aphyllum       ,31TBG95,,
Epipogium aphyllum       ,31TBG53,,
Erodium paularense       ,30TVL22,,
Erodium paularense       ,30TVL25,,
Erodium paularense       ,30TVL32,,
Erodium paularense       ,30TWK06,,
Ferula loscosii          ,30TXL99,,
Ferula loscosii          ,30TXM90,,
Ferula loscosii          ,30TYM02,,
Ferula loscosii          ,30TYM44,,
Ferula loscosii          ,31TBF47,,
Ferula loscosii          ,30TYL43,,
Ferula loscosii          ,30TYL47,,
Geranium dolomiticum     ,29TPG89,,
Geranium dolomiticum     ,29TPH91,,
Geranium dolomiticum     ,29TQH00,,
Geranium dolomiticum     ,29TQH15,,
Geranium dolomiticum     ,29TQH16,,
Geranium dolomiticum     ,29TQH25,,
Pilularia minuta         ,29TPG25,,
Viola cazorlensis        ,30SVG09,,
